iso2,year,gender,age_group,cases
AG,1996,m,25-34,0.0
AG,1996,m,35-44,0.0
AG,1996,m,45-54,1.0
AG,1996,m,55-64,0.0
AG,1996,m,65+,0.0
AG,1996,f,0-14,0.0
AG,1996,f,15-24,0.0
AG,1996,f,25-34,0.0
AG,1996,f,35-44,1.0
AG,1996,f,45-54,0.0
AG,1996,f,55-64,0.0
AG,1996,f,65+,0.0
AG,2000,m,0-14,0.0
AG,2000,m,15-24,0.0
AG,2000,m,25-34,0.0
AG,2000,m,35-44,0.0
AG,2000,m,45-54,0.0
AG,2000,m,55-64,0.0
AG,2000,m,65+,1.0
AG,2000,f,0-14,1.0
AG,2000,f,15-24,1.0
AG,2000,f,25-34,1.0
AG,2000,f,35-44,0.0
AG,2000,f,45-54,0.0
AG,2000,f,55-64,0.0
AG,2000,f,65+,0.0
AG,2001,f,0-14,0.0
AG,2001,f,15-24,1.0
AG,2001,f,25-34,0.0
AG,2001,f,35-44,0.0
AG,2001,f,45-54,0.0
AG,2001,f,55-64,0.0
AG,2001,f,65+,0.0
AG,2002,m,0-14,0.0
AG,2002,m,15-24,0.0
AG,2002,m,25-34,1.0
AG,2002,m,35-44,0.0
AG,2002,m,45-54,0.0
AG,2002,m,55-64,0.0
AG,2002,m,65+,0.0
AG,2002,f,0-14,2.0
AG,2002,f,15-24,0.0
AG,2002,f,25-34,1.0
AG,2002,f,35-44,0.0
AG,2002,f,45-54,0.0
AG,2002,f,55-64,0.0
AG,2002,f,65+,0.0
AG,2003,m,0-14,0.0
AG,2003,m,15-24,0.0
AG,2003,m,25-34,1.0
AG,2003,m,35-44,0.0
AG,2003,m,45-54,0.0
AG,2003,m,55-64,0.0
AG,2003,m,65+,0.0
AG,2003,f,0-14,0.0
AG,2003,f,15-24,0.0
AG,2003,f,25-34,0.0
AG,2003,f,35-44,0.0
AG,2003,f,45-54,0.0
AG,2003,f,55-64,0.0
AG,2003,f,65+,0.0
AG,2005,m,35-44,1.0
AG,2005,m,45-54,1.0
AG,2005,f,15-24,2.0
AG,2005,f,25-34,2.0
AG,2007,m,0-4,0.0
AG,2007,m,5-14,0.0
AG,2007,m,0-14,0.0
AG,2007,m,15-24,0.0
AG,2007,m,25-34,0.0
AG,2007,m,35-44,0.0
AG,2007,m,45-54,1.0
AG,2007,m,55-64,1.0
AG,2007,m,65+,0.0
AG,2007,f,0-4,0.0
AG,2007,f,5-14,0.0
AG,2007,f,0-14,0.0
AG,2007,f,15-24,0.0
AG,2007,f,25-34,0.0
AG,2007,f,35-44,0.0
AG,2007,f,45-54,0.0
AG,2007,f,55-64,0.0
AG,2007,f,65+,0.0
AG,2008,m,45-54,1.0
AI,2003,f,35-44,1.0
AI,2004,m,0-14,0.0
AI,2004,m,15-24,0.0
AI,2004,m,25-34,0.0
AI,2004,m,35-44,0.0
AI,2004,m,45-54,0.0
AI,2004,m,55-64,0.0
AI,2004,m,65+,0.0
AI,2004,f,0-14,0.0
AI,2004,f,15-24,0.0
AI,2004,f,25-34,0.0
AI,2004,f,35-44,0.0
AI,2004,f,45-54,0.0
AI,2004,f,55-64,0.0
AI,2004,f,65+,0.0
AL,1995,m,0-14,0.0
AL,1995,m,15-24,0.0
AL,1995,m,25-34,0.0
AL,1995,m,35-44,0.0
AL,1995,m,45-54,19.0
AL,1995,m,55-64,40.0
AL,1995,m,65+,30.0
AL,1995,f,0-14,0.0
AL,1995,f,15-24,1.0
AL,1995,f,25-34,0.0
AL,1995,f,35-44,0.0
AL,1995,f,45-54,13.0
AL,1995,f,55-64,20.0
AL,1995,f,65+,16.0
AL,1997,m,0-14,0.0
AL,1997,m,15-24,23.0
AL,1997,m,25-34,43.0
AL,1997,m,35-44,33.0
AL,1997,m,45-54,25.0
AL,1997,m,55-64,21.0
AL,1997,m,65+,19.0
AL,1997,f,0-14,1.0
AL,1997,f,15-24,16.0
AL,1997,f,25-34,19.0
AL,1997,f,35-44,14.0
AL,1997,f,45-54,9.0
AL,1997,f,55-64,10.0
AL,1997,f,65+,8.0
AL,1998,m,0-14,1.0
AL,1998,m,15-24,17.0
AL,1998,m,25-34,21.0
AL,1998,m,35-44,24.0
AL,1998,m,45-54,18.0
AL,1998,m,55-64,26.0
AL,1998,m,65+,24.0
AL,1998,f,0-14,2.0
AL,1998,f,15-24,19.0
AL,1998,f,25-34,11.0
AL,1998,f,35-44,12.0
AL,1998,f,45-54,13.0
AL,1998,f,55-64,11.0
AL,1998,f,65+,13.0
AL,1999,m,0-14,0.0
AL,1999,m,15-24,13.0
AL,1999,m,25-34,23.0
AL,1999,m,35-44,25.0
AL,1999,m,45-54,19.0
AL,1999,m,55-64,15.0
AL,1999,m,65+,15.0
AL,1999,f,0-14,0.0
AL,1999,f,15-24,5.0
AL,1999,f,25-34,13.0
AL,1999,f,35-44,11.0
AL,1999,f,45-54,5.0
AL,1999,f,55-64,8.0
AL,1999,f,65+,16.0
AL,2000,m,0-14,2.0
AL,2000,m,15-24,19.0
AL,2000,m,25-34,21.0
AL,2000,m,35-44,14.0
AL,2000,m,45-54,24.0
AL,2000,m,55-64,19.0
AL,2000,m,65+,16.0
AL,2000,f,0-14,3.0
AL,2000,f,15-24,11.0
AL,2000,f,25-34,10.0
AL,2000,f,35-44,8.0
AL,2000,f,45-54,8.0
AL,2000,f,55-64,5.0
AL,2000,f,65+,11.0
AL,2001,m,0-14,3.0
AL,2001,m,15-24,13.0
AL,2001,m,25-34,18.0
AL,2001,m,35-44,17.0
AL,2001,m,45-54,19.0
AL,2001,m,55-64,20.0
AL,2001,m,65+,30.0
AL,2001,f,0-14,1.0
AL,2001,f,15-24,12.0
AL,2001,f,25-34,10.0
AL,2001,f,35-44,5.0
AL,2001,f,45-54,7.0
AL,2001,f,55-64,7.0
AL,2001,f,65+,9.0
AL,2002,m,0-14,0.0
AL,2002,m,15-24,21.0
AL,2002,m,25-34,27.0
AL,2002,m,35-44,29.0
AL,2002,m,45-54,19.0
AL,2002,m,55-64,23.0
AL,2002,m,65+,25.0
AL,2002,f,0-14,2.0
AL,2002,f,15-24,20.0
AL,2002,f,25-34,19.0
AL,2002,f,35-44,9.0
AL,2002,f,45-54,6.0
AL,2002,f,55-64,8.0
AL,2002,f,65+,17.0
AL,2003,m,0-14,0.0
AL,2003,m,15-24,28.0
AL,2003,m,25-34,19.0
AL,2003,m,35-44,32.0
AL,2003,m,45-54,16.0
AL,2003,m,55-64,22.0
AL,2003,m,65+,19.0
AL,2003,f,0-14,2.0
AL,2003,f,15-24,13.0
AL,2003,f,25-34,8.0
AL,2003,f,35-44,6.0
AL,2003,f,45-54,14.0
AL,2003,f,55-64,12.0
AL,2003,f,65+,20.0
AL,2004,m,0-14,5.0
AL,2004,m,15-24,12.0
AL,2004,m,25-34,19.0
AL,2004,m,35-44,21.0
AL,2004,m,45-54,24.0
AL,2004,m,55-64,23.0
AL,2004,m,65+,20.0
AL,2004,f,0-14,2.0
AL,2004,f,15-24,12.0
AL,2004,f,25-34,12.0
AL,2004,f,35-44,8.0
AL,2004,f,45-54,11.0
AL,2004,f,55-64,10.0
AL,2004,f,65+,22.0
AL,2005,m,0-4,0.0
AL,2005,m,5-14,0.0
AL,2005,m,0-14,0.0
AL,2005,m,15-24,26.0
AL,2005,m,25-34,21.0
AL,2005,m,35-44,16.0
AL,2005,m,45-54,31.0
AL,2005,m,55-64,20.0
AL,2005,m,65+,37.0
AL,2005,m,unknown,0.0
AL,2005,f,0-4,0.0
AL,2005,f,5-14,0.0
AL,2005,f,0-14,0.0
AL,2005,f,15-24,3.0
AL,2005,f,25-34,9.0
AL,2005,f,35-44,5.0
AL,2005,f,45-54,5.0
AL,2005,f,55-64,5.0
AL,2005,f,65+,18.0
AL,2005,f,unknown,0.0
AL,2006,m,0-4,1.0
AL,2006,m,5-14,4.0
AL,2006,m,0-14,5.0
AL,2006,m,15-24,24.0
AL,2006,m,25-34,19.0
AL,2006,m,35-44,22.0
AL,2006,m,45-54,21.0
AL,2006,m,55-64,19.0
AL,2006,m,65+,20.0
AL,2006,m,unknown,0.0
AL,2006,f,0-4,0.0
AL,2006,f,5-14,2.0
AL,2006,f,0-14,2.0
AL,2006,f,15-24,12.0
AL,2006,f,25-34,8.0
AL,2006,f,35-44,7.0
AL,2006,f,45-54,7.0
AL,2006,f,55-64,7.0
AL,2006,f,65+,13.0
AL,2006,f,unknown,0.0
AL,2007,m,0-4,0.0
AL,2007,m,5-14,0.0
AL,2007,m,0-14,0.0
AL,2007,m,15-24,19.0
AL,2007,m,25-34,13.0
AL,2007,m,35-44,16.0
AL,2007,m,45-54,24.0
AL,2007,m,55-64,16.0
AL,2007,m,65+,19.0
AL,2007,m,unknown,0.0
AL,2007,f,0-4,0.0
AL,2007,f,5-14,2.0
AL,2007,f,0-14,2.0
AL,2007,f,15-24,13.0
AL,2007,f,25-34,9.0
AL,2007,f,35-44,7.0
AL,2007,f,45-54,7.0
AL,2007,f,55-64,11.0
AL,2007,f,65+,9.0
AL,2007,f,unknown,0.0
AL,2008,m,0-4,1.0
AL,2008,m,5-14,0.0
AL,2008,m,0-14,1.0
AL,2008,m,15-24,23.0
AL,2008,m,25-34,26.0
AL,2008,m,35-44,13.0
AL,2008,m,45-54,19.0
AL,2008,m,55-64,13.0
AL,2008,m,65+,16.0
AL,2008,f,0-4,0.0
AL,2008,f,5-14,1.0
AL,2008,f,0-14,1.0
AL,2008,f,15-24,20.0
AL,2008,f,25-34,10.0
AL,2008,f,35-44,8.0
AL,2008,f,45-54,5.0
AL,2008,f,55-64,5.0
AL,2008,f,65+,10.0
AM,1995,m,0-14,1.0
AM,1995,m,15-24,18.0
AM,1995,m,25-34,16.0
AM,1995,m,35-44,11.0
AM,1995,m,45-54,10.0
AM,1995,m,55-64,8.0
AM,1995,m,65+,1.0
AM,1995,f,0-14,1.0
AM,1995,f,15-24,1.0
AM,1995,f,25-34,7.0
AM,1995,f,35-44,2.0
AM,1995,f,45-54,1.0
AM,1995,f,55-64,1.0
AM,1996,m,0-14,2.0
AM,1996,m,15-24,53.0
AM,1996,m,25-34,100.0
AM,1996,m,35-44,51.0
AM,1996,m,45-54,43.0
AM,1996,m,55-64,30.0
AM,1996,m,65+,7.0
AM,1996,f,0-14,0.0
AM,1996,f,15-24,9.0
AM,1996,f,25-34,11.0
AM,1996,f,35-44,9.0
AM,1996,f,45-54,8.0
AM,1996,f,55-64,4.0
AM,1996,f,65+,0.0
AM,1997,m,0-14,2.0
AM,1997,m,15-24,85.0
AM,1997,m,25-34,59.0
AM,1997,m,35-44,77.0
AM,1997,m,45-54,51.0
AM,1997,m,55-64,34.0
AM,1997,m,65+,12.0
AM,1997,f,0-14,3.0
AM,1997,f,15-24,16.0
AM,1997,f,25-34,22.0
AM,1997,f,35-44,17.0
AM,1997,f,45-54,7.0
AM,1997,f,55-64,14.0
AM,1997,f,65+,1.0
AM,1998,m,0-14,2.0
AM,1998,m,15-24,159.0
AM,1998,m,25-34,90.0
AM,1998,m,35-44,79.0
AM,1998,m,45-54,39.0
AM,1998,m,55-64,17.0
AM,1998,m,65+,15.0
AM,1998,f,0-14,1.0
AM,1998,f,15-24,21.0
AM,1998,f,25-34,20.0
AM,1998,f,35-44,11.0
AM,1998,f,45-54,10.0
AM,1998,f,55-64,5.0
AM,1998,f,65+,6.0
AM,1999,m,0-14,4.0
AM,1999,m,15-24,151.0
AM,1999,m,25-34,88.0
AM,1999,m,35-44,115.0
AM,1999,m,45-54,76.0
AM,1999,m,55-64,37.0
AM,1999,m,65+,20.0
AM,1999,f,0-14,6.0
AM,1999,f,15-24,22.0
AM,1999,f,25-34,15.0
AM,1999,f,35-44,20.0
AM,1999,f,45-54,6.0
AM,1999,f,55-64,9.0
AM,1999,f,65+,7.0
AM,2000,m,0-14,2.0
AM,2000,m,15-24,152.0
AM,2000,m,25-34,130.0
AM,2000,m,35-44,131.0
AM,2000,m,45-54,63.0
AM,2000,m,55-64,26.0
AM,2000,m,65+,21.0
AM,2000,f,0-14,1.0
AM,2000,f,15-24,24.0
AM,2000,f,25-34,27.0
AM,2000,f,35-44,24.0
AM,2000,f,45-54,8.0
AM,2000,f,55-64,8.0
AM,2000,f,65+,4.0
AM,2001,m,0-14,2.0
AM,2001,m,15-24,154.0
AM,2001,m,25-34,120.0
AM,2001,m,35-44,93.0
AM,2001,m,45-54,54.0
AM,2001,m,55-64,24.0
AM,2001,m,65+,9.0
AM,2001,f,0-14,1.0
AM,2001,f,15-24,40.0
AM,2001,f,25-34,31.0
AM,2001,f,35-44,22.0
AM,2001,f,45-54,10.0
AM,2001,f,55-64,7.0
AM,2001,f,65+,5.0
AM,2002,m,0-14,1.0
AM,2002,m,15-24,95.0
AM,2002,m,25-34,63.0
AM,2002,m,35-44,109.0
AM,2002,m,45-54,93.0
AM,2002,m,55-64,21.0
AM,2002,m,65+,14.0
AM,2002,f,0-14,2.0
AM,2002,f,15-24,16.0
AM,2002,f,25-34,24.0
AM,2002,f,35-44,32.0
AM,2002,f,45-54,36.0
AM,2002,f,55-64,4.0
AM,2002,f,65+,1.0
AM,2003,m,0-14,12.0
AM,2003,m,15-24,120.0
AM,2003,m,25-34,98.0
AM,2003,m,35-44,75.0
AM,2003,m,45-54,104.0
