,date,artist,track,time,position
113,2000-02-19,"Gray, Macy",I Try,3:52,68
114,2000-03-11,"Griggs, Andy",She's More,3:19,81
115,1999-12-18,Guy,Dancin',4:08,46
116,2000-04-22,Hanson,This Time Around,4:14,22
117,1999-11-27,"Hart, Beth",L.A. Song,3:47,99
118,2000-04-29,"Heatherly, Eric",Flowers On The Wall,3:16,95
119,2000-06-24,"Henley, Don",Taking You Home,4:08,79
120,2000-03-18,"Herndon, Ty",No Mercy,4:43,100
121,1999-11-06,"Hill, Faith",Breathe,4:04,81
122,2000-08-12,"Hill, Faith",Let's Make Love,4:11,83
123,2000-02-19,Hoku,Another Dumb Blonde,3:47,69
124,2000-03-25,"Hollister, Dave",Can't Stay,6:17,84
125,2000-02-19,Hot Boys,I Need A Hot Girl,4:16,77
126,2000-06-17,"Houston, Whitney",Could I Have This Ki...,3:54,74
127,2000-02-19,"Houston, Whitney",I Learned From The B...,4:18,83
128,1999-09-04,"Houston, Whitney",My Love Is Your Love,4:16,81
129,2000-06-17,"Houston, Whitney","Same Script, Differe...",4:45,71
130,1999-10-09,IMx,Stay The Night,3:37,84
131,1999-12-04,Ice Cube,You Can Do It,4:20,86
132,2000-06-10,Ideal,Whatever,3:48,75
133,2000-04-01,"Iglesias, Enrique",Be With You,3:36,63
134,1999-12-04,"Iglesias, Enrique",Rhythm Divine,7:35,90
135,1999-12-25,J-Shin,One Night Stand,4:34,96
136,2000-09-16,Ja Rule,Between Me And You,4:05,85
137,2000-06-24,"Jackson, Alan",It Must Be Love,2:53,76
138,1999-11-13,"Jackson, Alan",Pop A Top,3:04,79
139,2000-11-04,"Jackson, Alan",www.memory,2:36,75
140,1999-12-11,Jagged Edge,He Can't Love U,3:30,54
141,2000-05-06,Jagged Edge,Let's Get Married,4:23,77
142,2000-06-17,Janet,Doesn't Really Matte...,4:17,59
143,2000-02-26,Jay-Z,Anything,3:41,72
144,2000-04-22,Jay-Z,Big Pimpin',3:55,69
145,2000-01-15,Jay-Z,Do It Again (Put Ya ...,3:47,95
146,2000-08-12,Jay-Z,Hey Papi,3:40,98
147,2000-10-28,Jay-Z,I Just Wanna Love U ...,3:50,58
148,2000-10-07,"Jean, Wyclef",911,4:00,77
149,2000-01-01,Joe,I Wanna Know,4:57,94
150,2000-08-05,Joe,Treat Her Like A Lad...,4:12,77
151,2000-04-22,"John, Elton",Someday Out Of The B...,4:41,56
152,2000-04-22,"Jones, Donell",Where I Wanna Be,6:22,81
153,1999-10-23,"Jordan, Montell",Get It On.. Tonite,4:34,92
154,2000-02-05,Juvenile,U Understand,3:51,85
155,2000-08-05,Kandi,Don't Think I'm Not,3:50,66
156,2000-08-05,"Keith, Toby",Country Comes To Tow...,3:39,82
157,2000-01-29,"Keith, Toby",How Do You Like Me N...,3:29,77
158,1999-12-04,Kelis,Caught Out There,4:09,84
159,1999-12-25,Kenny G,Auld Lang Syne (The ...,7:50,89
160,2000-02-19,Kid Rock,Only God Knows Why,5:27,63
161,2000-03-25,"Kravitz, Lenny",I Belong To You,4:17,78
162,2000-03-04,Kumbia Kings,U Don't Love Me,3:50,81
163,2000-04-15,LFO,I Don't Wanna Kiss Y...,5:00,63
164,2000-08-05,LFO,West Side Story,3:27,96
165,2000-08-12,LL Cool J,Imagine That,4:00,99
166,2000-03-04,"Larrieux, Amel",Get Up,4:02,100
167,2000-01-29,"Lawrence, Tracy",Lessons Learned,2:55,80
168,2000-08-19,"Levert, Gerald",Baby U Are,4:10,96
169,2000-03-18,"Levert, Gerald",Mr. Too Damn Good,4:06,84
170,2000-08-19,Lil Bow Wow,Bounce With Me,3:22,48
171,1999-12-04,Lil Wayne,Tha Block Is Hot,4:13,99
172,2000-11-25,Lil' Kim,How Many Licks?,3:50,79
173,2000-07-15,Lil' Kim,No Matter What They ...,4:12,80
174,2000-08-12,Lil' Mo,Ta Da,4:17,100
175,2000-07-29,Lil' Zane,Callin' Me,3:43,83
176,1999-12-04,Limp Bizkit,N 2 Gether Now,3:55,94
177,1999-12-04,Limp Bizkit,Re-Arranged,4:08,91
178,2000-11-11,Limp Bizkit,Rollin',4:04,77
179,1999-06-05,Lonestar,Amazed,4:25,81
180,1999-12-18,Lonestar,Smile,3:33,89
181,2000-06-10,Lonestar,What About Now,3:30,78
182,2000-02-19,"Lopez, Jennifer",Feelin' Good,4:28,79
183,2000-09-16,"Loveless, Patty",That's The Kind Of M...,3:27,98
184,2000-03-18,Lox,"Ryde or Die, Chick",3:56,86
185,2000-05-20,Lucy Pearl,Dance Tonight,3:45,80
186,2000-09-30,Ludacris,What's Your Fantasy,4:16,89
187,1999-11-20,M2M,Don't Say You Love M...,3:41,72
188,2000-04-01,M2M,Mirror Mirror,3:19,87
189,2000-07-08,Madison Avenue,Don't Call Me Baby,3:44,98
190,2000-02-19,Madonna,American Pie,4:30,43
191,2000-08-12,Madonna,Music,3:45,41
192,2000-03-11,"Martin, Ricky",Private Emotion,4:02,76
193,1999-11-20,"Martin, Ricky",Shake Your Bon-Bon,3:08,74
194,2000-10-07,"Martin, Ricky",She Bangs,4:02,38
195,2000-03-25,Mary Mary,Shackles (Praise You...,3:12,90
196,2000-11-18,Master P,Souljas,3:33,98
197,2000-02-05,"McBride, Martina",Love's The Only Hous...,5:13,79
198,2000-09-09,"McBride, Martina",There You Are,3:26,79
199,2000-05-13,"McEntire, Reba",I'll Be,4:23,89
200,1999-10-30,"McEntire, Reba",What Do You Say,3:26,88
201,1999-11-27,"McGraw, Tim",My Best Friend,4:33,85
202,2000-10-21,"McGraw, Tim",My Next Thirty Years,3:37,73
203,2000-05-13,"McGraw, Tim",Some Things Never Ch...,3:56,76
204,2000-02-26,"McKnight, Brian",Stay Or Let It Go,4:32,95
205,2000-01-29,"Messina, Jo Dee",Because You Love Me,3:50,83
206,2000-06-24,"Messina, Jo Dee",That's The Way,3:17,78
207,2000-05-13,Metallica,I Disappear,4:26,86
208,2000-02-12,Metallica,No Leaf Clover (Live...,5:43,86
209,2000-03-04,Montgomery Gentry,Daddy Won't Sell The...,4:18,87
210,2000-09-09,"Montgomery, John Michael",The Little Girl,3:52,81
211,2000-10-28,"Moore, Chante",Straight Up,3:40,98
212,2000-06-17,"Moore, Mandy",I Wanna Be With You,4:12,69
213,2000-09-09,"Mumba, Samantha",Gotta Tell You,3:19,85
214,2000-10-14,Musiq,Just Friends,4:02,89
215,2000-08-19,Mya,Case Of The Ex (What...,3:50,72
216,2000-04-15,Mya,The Best Of Me,4:12,85
217,2000-08-12,Mystikal,Shake Ya Ass,4:46,97
218,2000-01-29,N'Sync,Bye Bye Bye,3:15,42
219,2000-05-06,N'Sync,It's Gonna Be Me,3:10,82
220,2000-09-30,N'Sync,This I Promise You,4:23,68
221,2000-03-25,Nas,You Owe Me,3:51,74
222,2000-04-29,Nelly,(Hot S**t) Country G...,4:17,100
223,2000-05-27,Next,Wifey,4:03,85
224,2000-05-06,Nine Days,Absolutely (Story Of...,3:09,85
225,2000-12-02,Nine Days,If I Am,4:18,68
226,2000-07-01,No Doubt,Simple Kind Of Life,4:11,50
227,2000-06-03,Nu Flavor,3 Little Words,3:54,97
228,2000-11-25,"Offspring, The",Original Prankster,3:42,74
229,2000-05-13,"Paisley, Brad",Me Neither,3:19,87
230,2000-10-14,"Paisley, Brad",We Danced,3:45,71
231,2000-07-29,Papa Roach,Last Resort,3:19,75
232,2000-05-13,Pearl Jam,Nothing As It Seems,5:20,49
233,2000-08-12,Pink,Most Girls,4:06,85
234,2000-03-04,Pink,There U Go,3:23,25
235,2000-07-15,"Price, Kelly",As We Lay,6:20,82
236,2000-05-13,"Price, Kelly",Love Sets You Free,3:46,92
237,2000-09-23,"Price, Kelly",You Should've Told M...,3:12,91
238,2000-09-16,Profyle,Liar,3:57,52
239,2000-02-12,Puff Daddy,Best Friend,5:33,65
240,2000-01-22,Q-Tip,Breathe And Stop,4:06,71
241,1999-12-25,R.E.M.,The Great Beyond,4:10,79
242,2000-05-06,Rascal Flatts,Prayin' For Daylight,3:36,87
243,2000-03-18,"Raye, Collin",Couldn't Last A Mome...,3:40,91
244,2000-07-29,Red Hot Chili Peppers,Californication,5:21,72
245,2000-02-12,Red Hot Chili Peppers,Otherside,4:13,80
246,1999-10-16,"Rimes, LeAnn",Big Deal,3:03,71
247,2000-09-09,"Rimes, LeAnn",Can't Fight The Moon...,3:33,82
248,2000-05-27,"Rimes, LeAnn",I Need You,3:42,77
249,2000-03-11,"Rogers, Kenny",Buy Me A Rose,3:46,79
250,2000-07-01,Ruff Endz,No More,3:56,76
251,2000-01-29,Sammie,I Like It,4:09,85
252,2000-02-12,Santana,"Maria, Maria",4:18,15
253,2000-04-08,Savage Garden,Crash And Burn,4:41,75
254,1999-10-23,Savage Garden,I Knew I Loved You,4:07,71
255,1999-12-25,SheDaisy,Deck The Halls,3:46,97
256,2000-07-15,SheDaisy,I Will.. But,3:40,78
257,2000-02-05,SheDaisy,This Woman Needs,3:20,82
258,2000-11-11,"Sheist, Shade",Where I Wanna Be,4:16,96
259,2000-09-09,Shyne,Bad Boyz,4:22,94
260,2000-07-01,"Simpson, Jessica",I Think I'm In Love ...,3:32,63
261,2000-04-01,"Simpson, Jessica",Where You Are,3:51,73
262,1999-11-20,Sisqo,Got To Get It,3:52,92
263,2000-06-24,Sisqo,Incomplete,3:52,77
264,2000-01-29,Sisqo,Thong Song,4:05,74
265,2000-07-15,Sister Hazel,Change Your Mind,4:02,75
266,1999-10-30,Smash Mouth,Then The Morning Com...,3:04,83
267,2000-02-12,"Smith, Will",Freakin' It,3:58,99
268,2000-04-08,Son By Four,A Puro Dolor (Purest...,3:30,80
269,2000-01-22,Sonique,It Feels So Good,3:48,67
270,2000-07-08,SoulDecision,Faded,3:25,94
271,2000-01-29,"Spears, Britney",From The Bottom Of M...,4:30,76
272,2000-08-12,"Spears, Britney",Lucky,3:23,61
273,2000-04-22,"Spears, Britney",Oops!.. I Did It Aga...,3:30,67
274,2000-03-04,"Spencer, Tracie",Still In My Heart,4:11,95
275,2000-06-10,Splender,I Think God Can Expl...,3:55,71
276,2000-05-13,Sting,Desert Rose,3:52,98
277,2000-07-08,Stone Temple Pilots,Sour Girl,4:16,79
278,1999-12-25,"Stone, Angie",No More Rain (In Thi...,4:42,86
279,2000-08-26,"Strait, George",Go On,3:48,71
280,2000-01-29,"Strait, George",The Best Day,3:24,73
281,2000-01-15,Sugar Ray,Falls Apart,4:15,70
282,2000-02-12,TLC,Dear Lie,4:36,63
283,2000-03-25,Tamar,If You Don't Wanna L...,4:02,98
284,2000-09-16,Tamia,Can't Go For That,3:38,90
285,2000-09-02,Third Eye Blind,Deep Inside Of You,4:10,80
286,2000-01-22,Third Eye Blind,Never Let You Go,3:57,65
287,2000-11-25,"Thomas, Carl",Emotional,4:31,77
288,2000-03-25,"Thomas, Carl",I Wish,3:50,75
289,2000-09-23,"Thomas, Carl",Summer Rain,4:57,82
290,2000-08-26,"Tippin, Aaron",Kiss This,2:53,74
291,1999-10-09,Train,Meet Virginia,3:55,76
292,2000-05-20,Trick Daddy,Shut Up,4:17,99
293,2000-09-09,Trina,Pull Over,2:58,97
294,2000-08-19,"Tritt, Travis",Best Of Intentions,4:15,97
295,2000-12-30,Tuesday,I Know,4:06,98
296,2000-07-15,"Urban, Keith",Your Everything,4:10,81
297,2000-11-04,Usher,Pop Ya Collar,3:36,68
298,2000-03-04,"Vassar, Phil",Carlene,4:07,75
299,2000-09-30,"Vassar, Phil",Just Another Day In ...,3:54,81
300,2000-01-22,Vertical Horizon,Everything You Want,4:01,70
301,2000-08-26,Vertical Horizon,You're A God,3:45,64
302,2000-04-15,Vitamin C,Graduation (Friends ...,4:23,81
303,2000-12-02,Vitamin C,The Itch,3:30,86
304,1999-12-04,"Walker, Clay","Live, Laugh, Love",4:06,95
305,2000-04-15,"Walker, Clay",The Chain Of Love,5:03,73
306,2000-10-28,"Wallflowers, The",Sleepwalker,3:29,73
307,2000-04-01,Westlife,Swear It Again,4:07,96
308,1999-11-20,"Williams, Robbie",Angels,3:56,85
309,2000-01-15,"Wills, Mark",Back At One,4:00,89
310,2000-06-17,"Worley, Darryl",When You Need My Lov...,3:35,98
311,2000-03-04,"Wright, Chely",It Was,3:51,86
312,2000-04-29,Yankee Grey,Another Nine Minutes,3:10,86
313,2000-04-01,"Yearwood, Trisha",Real Live Woman,3:55,85
314,2000-03-18,Ying Yang Twins,Whistle While You Tw...,4:19,95
315,2000-09-02,Zombie Nation,Kernkraft 400,3:30,99
316,2000-04-29,matchbox twenty,Bent,4:12,60
317,2000-03-04,2 Pac,Baby Don't Cry (Keep...,4:22,82
318,2000-09-09,2Ge+her,The Hardest Part Of ...,3:15,87
319,2000-04-15,3 Doors Down,Kryptonite,3:53,70
320,2000-10-28,3 Doors Down,Loser,4:24,76
321,2000-04-22,504 Boyz,Wobble Wobble,3:35,34
322,2000-08-26,98^0,Give Me Just One Nig...,3:24,39
323,2000-07-15,A*Teens,Dancing Queen,3:44,97
324,2000-02-05,Aaliyah,I Don't Wanna,4:15,62
325,2000-03-25,Aaliyah,Try Again,4:03,53
326,2000-09-02,"Adams, Yolanda",Open My Heart,5:30,76
327,2000-05-06,"Adkins, Trace",More,3:05,84
328,2000-08-12,"Aguilera, Christina",Come On Over Baby (A...,3:38,47
329,2000-04-22,"Aguilera, Christina",I Turn To You,4:00,39
330,1999-12-04,"Aguilera, Christina",What A Girl Wants,3:18,51
331,2000-04-15,Alice Deejay,Better Off Alone,6:50,65
332,2000-01-29,"Allan, Gary",Smoke Rings In The D...,4:18,78
333,1999-07-24,Amber,Sexual,4:38,99
335,2000-09-23,"Anthony, Marc",My Baby You,3:59,76
336,2000-03-04,"Anthony, Marc",You Sang To Me,3:50,54
337,2000-11-11,Avant,My First Love,4:28,62
338,2000-05-06,Avant,Separated,4:13,32
339,2000-05-06,BBMak,Back Here,3:35,86
340,2000-10-21,"Backstreet Boys, The",Shape Of My Heart,3:49,25
341,2000-01-08,"Backstreet Boys, The",Show Me The Meaning ...,3:54,62
342,2000-06-03,"Backstreet Boys, The",The One,3:46,50
343,2000-08-26,"Badu, Erkyah",Bag Lady,5:03,53
344,2000-07-29,Baha Men,Who Let The Dogs Out,3:17,92
345,2000-09-16,Barenaked Ladies,Pinch Me,3:46,76
346,2000-10-28,Beenie Man,Girls Dem Sugar,4:17,72
347,2000-05-27,Before Dark,Monica,4:04,87
348,2000-02-05,"Bega, Lou",Tricky Tricky ,3:23,74
349,2000-04-29,Big Punisher,It's So Hard,3:25,87
350,2000-03-11,Black Rob,Whoa!,4:04,59
351,2000-02-26,"Black, Clint",Been There,5:28,73
352,1999-10-30,Blaque,Bring It All To Me,3:46,63
353,1999-11-20,"Blige, Mary J.",Deep Inside,5:26,80
354,2000-04-22,"Blige, Mary J.",Give Me You,5:00,94
355,1999-12-11,Blink-182,All The Small Things,2:52,76
356,2000-03-25,Bloodhound Gang,The Bad Touch,4:20,62
357,2000-08-19,Bon Jovi,It's My Life,3:44,58
358,2000-03-25,"Braxton, Toni",He Wasn't Man Enough,4:21,55
359,2000-08-05,"Braxton, Toni",Just Be A Man About ...,4:10,69
360,2000-12-09,"Braxton, Toni",Spanish Guitar,4:24,98
361,2000-01-08,"Brock, Chad",A Country Boy Can Su...,3:54,75
362,2000-04-15,"Brock, Chad",Yes!,3:22,77
363,2000-06-17,Brooks & Dunn,You'll Always Be Lov...,2:58,85
364,2000-02-26,"Brooks, Garth",Do What You Gotta Do,2:56,81
365,2000-02-05,"Byrd, Tracy",Put Your Hand In Min...,4:30,77
366,2000-10-28,"Cagle, Chris",My Love Goes On And ...,3:02,94
367,2000-10-21,Cam'ron,What Means The World...,4:38,94
368,2000-07-01,"Carey, Mariah",Crybaby,5:19,34
369,1999-12-18,"Carey, Mariah",Thank God I Found Yo...,4:14,68
370,2000-09-02,"Carter, Aaron",Aaron's Party (Come ...,3:23,75
371,2000-07-01,"Carter, Torrey",Take That,3:43,88
372,2000-10-07,Changing Faces,That Other Woman,4:00,72
373,2000-10-28,"Chesney, Kenny",I Lost It,3:54,67
374,2000-04-08,"Chesney, Kenny",What I Need To Do,4:05,74
375,2000-11-25,Clark Family Experience,Meanwhile Back At Th...,2:56,86
376,2000-12-23,"Clark, Terri",A Little Gasoline,3:07,82
377,2000-08-12,Common,The Light,3:55,55
378,1999-11-13,Counting Crows,Hanginaround,4:07,70
379,1999-09-18,Creed,Higher,5:16,77
380,2000-05-20,Creed,With Arms Wide Open,3:52,78
381,2000-09-30,"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,97
382,1999-12-18,D'Angelo,Left & Right,4:35,77
383,2000-01-29,D'Angelo,Untitled (How Does I...,7:10,56
384,2000-03-04,DMX,Party Up (Up In Here...,3:45,74
385,2000-07-08,DMX,What You Want,4:05,95
386,2000-01-22,DMX,What's My Name,3:50,76
387,2000-03-04,Da Brat,That's What I'm Look...,3:44,73
388,2000-06-10,Da Brat,What'Chu Like,3:57,65
389,2000-04-01,"Davidson, Clay",Unconditional,3:56,97
390,2000-12-30,De La Soul,All Good?,5:02,96
391,2000-09-30,Destiny's Child,Independent Women Pa...,3:38,63
392,2000-05-20,Destiny's Child,Jumpin' Jumpin',3:48,71
393,2000-01-01,Destiny's Child,Say My Name,4:31,83
394,2000-08-19,"Diffie, Joe",It's Always Somethin...,2:55,78
395,2000-01-08,"Diffie, Joe",The Quittin' Kind,3:23,100
396,1999-11-20,"Dion, Celine",That's The Way It Is,4:03,68
397,2000-07-01,"Dixie Chicks, The",Cold Day In July,5:12,79
398,1999-12-04,"Dixie Chicks, The",Cowboy Take Me Away,4:51,72
399,2000-03-25,"Dixie Chicks, The",Goodbye Earl,4:19,29
400,2000-10-14,"Dixie Chicks, The",Without You,3:32,70
401,2000-01-29,Dr. Dre,Forgot About Dre,3:42,55
402,2000-06-03,Dr. Dre,The Next Episode,2:38,67
403,2000-02-19,Drama,"Left, Right, Left",3:37,98
404,2000-10-07,Dream,He Loves U Not,3:43,92
405,2000-01-15,"Eastsidaz, The",G'D Up,4:27,77
406,2000-07-08,"Eastsidaz, The",Got Beef,3:58,99
407,1999-12-18,Eiffel 65,Blue,3:29,29
408,1999-12-04,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,21
409,2000-11-11,Eminem,Stan,5:26,67
410,2000-05-13,Eminem,The Real Slim Shady,4:42,32
411,2000-09-02,Eminem,The Way I Am,4:40,74
412,2000-06-24,En Vogue,Riddle,5:10,92
414,2000-10-28,"Evans, Sara",Born To Fly,5:36,71
415,2000-07-22,Eve,Got It All,3:48,88
416,2000-01-15,Eve,Love Is Blind,3:51,91
417,2000-07-15,Everclear,Wonderful,4:30,69
418,2000-06-17,"Fabian, Lara",I Will Love Again,3:43,80
419,1999-11-20,Fatboy Slim,The Rockafeller Skan...,4:00,94
420,1999-12-04,Filter,Take A Picture,4:23,74
421,1999-10-23,Foo Fighters,Learn To Fly,3:55,69
423,2000-11-18,Funkmaster Flex,Do You,4:14,92
425,2000-09-09,"Gill, Vince",Feels Like Love,4:13,76
426,2000-06-24,"Gilman, Billy",One Voice,4:07,86
427,1999-12-18,Ginuwine,None Of Ur Friends B...,4:12,84
428,2000-01-15,Ginuwine,The Best Man I Can B...,4:06,97
429,2000-04-29,Goo Goo Dolls,Broadway,3:54,58
430,2000-02-26,"Gray, Macy",I Try,3:52,51
431,2000-03-18,"Griggs, Andy",She's More,3:19,76
432,1999-12-25,Guy,Dancin',4:08,29
433,2000-04-29,Hanson,This Time Around,4:14,22
434,1999-12-04,"Hart, Beth",L.A. Song,3:47,100
435,2000-05-06,"Heatherly, Eric",Flowers On The Wall,3:16,88
436,2000-07-01,"Henley, Don",Taking You Home,4:08,77
437,2000-03-25,"Herndon, Ty",No Mercy,4:43,99
438,1999-11-13,"Hill, Faith",Breathe,4:04,68
439,2000-08-19,"Hill, Faith",Let's Make Love,4:11,83
440,2000-02-26,Hoku,Another Dumb Blonde,3:47,49
441,2000-04-01,"Hollister, Dave",Can't Stay,6:17,84
442,2000-02-26,Hot Boys,I Need A Hot Girl,4:16,75
443,2000-06-24,"Houston, Whitney",Could I Have This Ki...,3:54,68
444,2000-02-26,"Houston, Whitney",I Learned From The B...,4:18,83
445,1999-09-11,"Houston, Whitney",My Love Is Your Love,4:16,68
446,2000-06-24,"Houston, Whitney","Same Script, Differe...",4:45,71
447,1999-10-16,IMx,Stay The Night,3:37,61
448,1999-12-11,Ice Cube,You Can Do It,4:20,66
449,2000-06-17,Ideal,Whatever,3:48,75
450,2000-04-08,"Iglesias, Enrique",Be With You,3:36,45
451,1999-12-11,"Iglesias, Enrique",Rhythm Divine,7:35,84
452,2000-01-01,J-Shin,One Night Stand,4:34,96
